id,no_suivi,no_rapport,raport_type,date_envoi,crc,titre_raport,note,type_organisme,lat,long,ville
664,2013-231,jf00141124.html,Rapport d'observations définitives,15/11/2013,CRC Pays de la Loire,Commune - Haute Goulaine -  (Loire-Atlantique),-5,Commune,47.198220899999995,-1.431196,Haute-Goulaine
673,605,jf00141178.html,Rapport d'observations définitives,26/05/2014,CRC Nord-Pas-de-Calais Picardie,Commune - Sin le Noble -  (Nord),-235,Commune,50.365851000000006,3.114329,Sin-le-Noble
702,,jf00141348.html,Rapport d'observations définitives,23/05/2014,CRC Basse-Normandie Haute-Normandie,Commune - Honfleur -  (Calvados),-187,Commune,49.418762,0.233262,Honfleur
703,,jf00141359.html,Rapport d'observations définitives,23/05/2014,CRC Basse-Normandie Haute-Normandie,Etablissement hospitalier public - Centre hospitalier public du Cotentin - Cherbourg-Octeville (Manche),-142,Etablissement hospitalier public,49.633730799999995,-1.6221370000000002,Cherbourg-Octeville
716,,jf00141745.html,Rapport d'observations définitives,24/07/2014,CRC Aquitaine Poitou-Charentes,Etablissement hospitalier public - Centre hospitalier universitaire de Poitiers -  (Vienne),-50,Etablissement hospitalier public,48.208174299999996,16.3738189,Vienna
729,,jf00142025.html,Rapport d'observations définitives,12/08/2014,CRC Aquitaine Poitou-Charentes,Commune - Saint-Martin-des-Combes -  (Dordogne),-21,Commune,44.957440999999996,0.614804,Saint-Martin-des-Combes
731,,jf00142106.html,Rapport d'observations définitives,20/08/2014,CRC Aquitaine Poitou-Charentes,Commune - Saint-Denis-d'Oléron -  (Charente-Maritime),-78,Commune,46.033306,-1.379923,Saint-Denis-d'Oléron
748,2014-26,jf00142462.html,Rapport d'observations définitives,21/07/2014,CRC Bretagne,Société d'économie mixte - Théâtre national de Bretagne - Rennes (Ille-et-Vilaine),-106,Société d'économie mixte,48.117266,-1.6777925999999999,Rennes
752,2014-31,jf00142496.html,Rapport d'observations définitives,08/08/2014,CRC Bretagne,Commune - Larmor-Plage - Larmor-Plage (Morbihan),21,Commune,47.7056911,-3.3825383,Eglise Notre Dame de Larmor-Plage
776,,jf00142809.html,Rapport d'observations définitives,26/09/2014,CRC Aquitaine Poitou-Charentes,Régie - Régie des transports poitevins (Vitalis) - Poitiers (Vienne),-215,Régie,48.208174299999996,16.3738189,Vienna
777,,jf00142811.html,Rapport d'observations définitives,17/09/2014,CRC Basse-Normandie Haute-Normandie,Commune - Barentin -  (Seine-Maritime),-167,Commune,49.543453,0.95813,Barentin
781,628,jf00142818.html,Rapport d'observations définitives,08/07/2014,CRC Nord-Pas-de-Calais Picardie,Commune - Beauvais -  (Oise),-19,Commune,49.42953869999999,2.0807123,Beauvais
813,,jf00143314.html,Rapport d'observations définitives,18/09/2014,CRC Basse-Normandie Haute-Normandie,Commune - Communauté de communes du canton de Saint-Malo-de-la-Lande - Saint-Malo-de-la-Lande (Manche),-49,Commune,49.071191999999996,-1.539785,Saint-Malo-de-la-Lande
831,,jf00143500.html,Rapport d'observations définitives,02/10/2014,CRC Aquitaine Poitou-Charentes,Communauté d'agglomération - Communauté d'agglomération de Poitiers -  (Vienne),-42,Communauté d'agglomération,48.208174299999996,16.3738189,Vienna
836,,jf00143567.html,Rapport d'observations définitives,15/07/2014,CRC Basse-Normandie Haute-Normandie,Région - Conseil régional de Haute-Normandie - Rouen (Seine-Maritime),-116,Région,49.44323199999999,1.0999709999999998,Rouen
846,14-0090 R,jf00143606.html,Rapport d'observations définitives,28/05/2014,CRC Ile-de-France,Département - Hauts-de-Seine - Nanterre (Hauts-de-Seine),-565,Département,48.8973191,2.2159501,Préfecture des Hauts-de-Seine
