id,no_suivi,no_rapport,raport_type,date_envoi,crc,titre_raport,note,type_organisme,lat,long,ville
1098,14-0230 R,jf00148096.html,Rapport d'observations définitives,02/04/2015,CRC Ile-de-France,Département - Essonne -  (Essonne),-93,Département,48.402568,2.4138878,Essonne
1112,2015-12,jf00148289.html,Rapport d'observations définitives,24/03/2015,CRC Bretagne,Commune - Vannes - Vannes (Morbihan),153,Commune,47.662081,-2.738052,Rue du 28E R.A. Vannes
1114,,jf00148315.html,Rapport d'observations définitives,02/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Pompignac -  (Gironde),64,Commune,44.850991,-0.439564,Pompignac
1115,,jf00148316.html,Rapport d'observations définitives,03/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Saint-Quentin-de-Baron -  (Gironde),-87,Commune,44.818734899999995,-0.286936,Saint-Quentin-de-Baron
1120,,jf00148417.html,Rapport d'observations définitives,16/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Soorts-Hossegor -  (Landes),-221,Commune,43.664619200000004,-1.3976871000000002,Hossegor
1126,,jf00148514.html,Rapport d'observations définitives,17/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Saint-Savin -  (Vienne),17,Commune,48.208174299999996,16.3738189,Vienna
1139,15-0049 R,jf00148709.html,Rapport d'observations définitives,27/05/2015,CRC Ile-de-France,Commune - Saint-Germain-en-Laye -  (Yvelines),-143,Commune,48.898908,2.093761,Saint-Germain-en-Laye
1160,127,jf00148808.html,Rapport d'observations définitives,02/06/2015,CRC Nord-Pas-de-Calais Picardie,"Office public de l'habitat - office public de l'habitat ""Pas-de-Calais Habitat"" PCH  - Arras (Pas-de-Calais)",-139,Office public de l'habitat,50.573276899999996,2.3244679,Pas-de-Calais
1204,,jf00149046.html,Rapport d'observations définitives,16/07/2015,CRC Aquitaine Poitou-Charentes,Commune - Confolens -  (Charente),0,Commune,46.01405399999999,0.668317,Confolens
1205,,jf00149053.html,Rapport d'observations définitives,21/05/2015,CRC Basse-Normandie Haute-Normandie,Commune - Dives-sur-Mer -  (Calvados),-60,Commune,49.286559999999994,-0.100024,Dives-sur-Mer
1208,2015-213,jf00149079.html,Rapport d'observations définitives,21/05/2015,CRC Pays de la Loire,Commune - Bouchemaine -  (Maine-et-Loire),-41,Commune,47.422067,-0.60973,Bouchemaine
1236,,jf00150034.html,Rapport d'observations définitives,03/09/2015,CRC Aquitaine Poitou-Charentes,Chambre de commerce et d'industrie - Chambre de Commerce et d'Industrie (CCI) de la région Poitou-Charentes - Poitiers (Vienne),-70,Chambre de commerce et d'industrie,46.58022400000001,0.340375,Poitiers
1237,,jf00150110.html,Rapport d'observations définitives,27/07/2015,CRC Basse-Normandie Haute-Normandie,Commune - Saint-Aubin-sur-Mer -  (Calvados),-173,Commune,49.330833,-0.392896,Saint-Aubin-sur-Mer
1240,P 15-152,jf00150159.html,Rapport d'observations définitives,09/06/2015,CRC Mayotte,Commune - Chiconi -  (Mayotte),-250,Commune,-12.830330199999999,45.1143795,Chiconi
1245,NPR201545,jf00150257.html,Rapport d'observations définitives,23/07/2015,CRC Nord-Pas-de-Calais Picardie,Commune - Lillers -  (Pas-de-Calais),-26,Commune,50.564129,2.4806308999999995,Lillers
1249,,jf00150309.html,Rapport d'observations définitives,08/07/2015,CRC Basse-Normandie Haute-Normandie,Commune - Ouistreham -  (Calvados),-36,Commune,49.276656,-0.258658,Ouistreham
1256,D152969,jf00150355.html,Rapport d'observations définitives,03/09/2015,CRC Auvergne Rhône-Alpes,Commune - Cran-Gevrier -  (Haute-Savoie),-157,Commune,45.907737,6.106676999999999,Cran-Gevrier
1264,,jf00150464.html,Rapport d'observations définitives,16/07/2015,CRC Basse-Normandie Haute-Normandie,Commune - Bréhal -  (Manche),-254,Commune,48.898687,-1.5227868999999998,Bréhal
1267,2015-31,jf00150473.html,Rapport d'observations définitives,20/07/2015,CRC Bretagne,Commune - Lanester - Lanester (Morbihan),-58,Commune,47.7757951,-3.3610219,Hydro-et-Culture Lanester - Hydro&Culture
1280,,jf00150595.html,Rapport d'observations définitives,09/06/2015,CRC Basse-Normandie Haute-Normandie,Commune - Notre-Dame-de-Bondeville -  (Seine-Maritime),-38,Commune,49.48552,1.049502,Notre-Dame-de-Bondeville
1303,NPR201551,jf00150856.html,Rapport d'observations définitives,15/09/2015,CRC Nord-Pas-de-Calais Picardie,Commune - Le Portel -  (Pas-de-Calais),-47,Commune,50.707420899999995,1.5767719999999998,Le Portel
1350,,jf00151512.html,Rapport d'observations définitives,24/09/2015,CRC Basse-Normandie Haute-Normandie,Commune - Le Neubourg -  (Eure),-173,Commune,49.144667,0.8957469999999998,Le Neubourg
